"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition"
"Substance","EstimatedDrugQuantity","","0,1","NIBRS Element 21. This data element should be used to indicate the quantity of drugs or narcotics seized in a drug case."
"Substance","TypeDrugMeasurement","","*","NIBRS Element 22. This data element should be used to indicate the type of measurement used in quantifying drugs or narcotics seized in a drug case."
"Person","","","",""
"Person","Sex","","0..1","NIBRS Element 27. The sex of the arrestee should be indicated in this data element.
NIBRS Element 38. The sex of the offender should be indicated in this data element.
NIBRS Element 48. The sex of the arrestee should be indicated in this data element."
"Person","Race","","0..1","NIBRS Element 28. The race of the arrestee should be indicated in this data element.
NIBRS Element 39. The race of the offender should is to be indicated in this data element.
NIBRS Element 49. The race of the arrestee should be indicated in this data element."
"Person","Ethnicity","","0..1","NIBRS Element 29. The ethnic origin of the arrestee should be entered into this data element.
NIBRS Element 39A. If the offender was a person, his/her ethnic origin should be entered into this data element.
NIBRS Element 50. The ethnic origin of the arrestee should be entered into this data element."
"Person","ResidentStatus","","0..1","NIBRS Element 30. Whether the arrestee [sic: victim] was a resident or nonresident should be entered into this data element.
NIBRS Element 51. Whether the arrestee was a resident or nonresident should be entered into this data element."
"EnforcementOfficial","","","",""
"EnforcementOfficial","ORIsOtherJurisdictionOfficer","","*","NIBRS Element 25C. An identifier of an agency (ORI)"
"EnforcementOfficial","TypeofActivityOfficerCircumstance","","0..1","NIBRS Element 25A. Activity category for a victim"
"EnforcementOfficial","AssignmentTypeOfficer","","0..1","NIEM Element 25B. Officer assignment for a victim"
"Victim","","","",""
"Victim","VictimSequenceNumber","","0..1","NIBRS Element 23. Each victim in an incident should be assigned a sequence number from 001 to 999."
"Victim","TypeofVictim","","0..1","NIBRS Element 25. The type of victim should be entered into this data element."
"Victim","AggravatedAssaultHomicideCircumstances","","*","NIBRS Element 31. This data element should be used to describe the circumstances of either an aggravated assault or a homicide."
"Victim","AdditionalJustifiableHomicideCircumstances","","0..1","NIBRS Element 32. This data element should be used to further describe the circumstances of a justifiable homicide."
"Victim","TypeInjury","","0..1","NIBRS Element 33. This data element should be used to describe the type(s) of bodily injury suffered by a victim."
"Victim","BiasAffiliation","string","*","What the offender or officers(?) perceived about the victim that may have led to their victimization in relation to the bias motivated offense.  

Added element with these codes:
APPEARANCE=Appearance Affiliation; CLOTHING=Clothing Affilitation; UNIFORM=Uniform Affiliation; ASSOCIATE=Associate Affiliation; FAMILIAL=Familial Affiliation; EMPLOYMENT=Employment Affiliation; EVENT=Event Affiliation; LOCATION=Location Affiliation; MEMBERSHIP=Membership Affiliation; OBJECT=Object Affiliation; NONE=None"
"Subject","","","",""
"Subject","OffenderSequenceNumber","","0..1","NIBRS Element 36. Each offender in the incident should be assigned a sequence number from 01 to 99. A separate set of offender data should be submitted for each numbered offender."
"Arrestee","","","",""
"Arrestee","ArresteeSequenceNumber","","0..1","NIBRS Element 40. Each arrestee reported in a Incident Report or Arrest Report should be assigned a sequence number."
"Arrestee","ArresteeWasArmedWith","","*","NIBRS Element 46. This data element should be used to indicate whether the arrestee was armed with a commonly known weapon at the time of his/her apprehension."
"Arrestee","DispositionofArresteeUnder18","","0..1","NIBRS Element 52. This data element should be used only if the arrestee was 17 years of age or younger at the time of the arrest."
"Arrestee","MultipleArresteeSegmentIndicator","","0..1","NIBRS Element 44. This data element should be used to ensure that an arrestee is counted (scored) only once when the arrestee's apprehension causes the arresting agency to submit two or more Arrestee Segments concerning separate Incident Reports."
"Arrest","","","",""
"Arrest","ArrestTransactionNumber","","*","NIBRS Element 41. This is the number assigned by the reporting agency to an arrest report to identify it uniquely."
"Arrest","ArrestDate","","0..1","NIBRS Element 42. This data element should be used to enter the month, day, and year (MM/DD/YYYY) that the arrest took place."
"Arrest","TypeofArrest","","0..1","NIBRS Element 43. This data element should be used to indicate the type of apprehension."
"Arrest","UCRArrestOffenseCode","","*","NIBRS Element 45. The UCR Offense Code of the offense for which the arrestee was apprehended should be entered into this data element."
"ArrestSubjectAssociation","","","","This Association is used to link the Arrest and Arrestee data."
"ArrestSubjectAssociation","Arrestee (<unidirectional association>)","","0,1",""
"ArrestSubjectAssociation","Arrest (<unidirectional association>)","","0,1",""
"OffenseLocationAssociation","","","","This Association is used to link the Location and Offense data."
"OffenseLocationAssociation","Offense (<unidirectional association>)","","0,1",""
"OffenseLocationAssociation","Location (<unidirectional association>)","","0,1",""
"OffenseVictimAssociation","","","",""
"OffenseVictimAssociation","Victim (<unidirectional association>)","","0.1",""
"OffenseVictimAssociation","VictimConnectedtoUCROffenseCodes (<unidirectional association>)","","0.1","NIBRS Element 24. This data element should be used to link each victim to the up to ten most serious (as determined by the reporting agency) offenses which were perpetrated against him/her during the incident."
"SubjectVictimAssociation","","","",""
"SubjectVictimAssociation","RelationshipsofVictimtoOffenders","","0,1","NIBRS Element 35. This data element should be used along with Data Element 34 (Offender Numbers to be Related) to report the relationship of the victim to offenders who have perpetrated a Crime Against Person or a Crime Against Property.  

Added codes:
 ""Schoolmate - Elementary""
 ""Schoolmate - Junior High""
 ""Schoolmate - High School""
 ""Schoolmate - Post-secondary""
"
"SubjectVictimAssociation","OffenderNumberstobeRelated (<unidirectional association>)","","0,1","NIBRS Element 34. This data element should be used, along with Data Element 35 (Relationships of Victim to Offenders), to report the relationships of the victim to offenders who have perpetrated a Crime Against Person or a Crime Against Property."
"SubjectVictimAssociation","Victim (<unidirectional association>)","","0,1",""
"PersonAge","","","","NIBRS Element 26. The age of the arrestee should be entered either as an exact number of years, a range of years, or as unknown.
NIBRS Element 37. If the offender was a person, his/her age should be entered into this data element either as an exact age, a range of days or years, or as unknown. Accepted values are: UNKNOWN
NIBRS Element 47. If the arrestee was a person, his/her age should be entered into this data element either as an exact age, a range of days or years, or as unknown. Accepted values are: UNKNOWN"
"PersonAge","AgeValue","","0..1",""
"PersonAge","AgeText","","0..1",""
"PersonAge","AgeMinimum","","0..1",""
"PersonAge","AgeMaximum","","0..1",""
"Identification","","","",""
"Identification","IdentificationID","id","0..1",""
"Date","","","",""
"Date","Date","date","*",""
"Date","DateTime","dateTime","1",""
"Date","YearMonth","string","*",""
"EnforcementOfficialUnit","","","",""
"ReportingAgency","","","",""
"MessageSubmitter","","","",""
"MessageSubmitter","MessageSubmittingOrganization","","",""
"IncidentAugmentationCJIS","","","",""
"OrganizationAugmentationJ","","","",""
"IncidentAugmentationJ","","","",""
"ArrestCharge","","","",""
"EnforcementOfficialRole","","","",""
"OffenseFactor","","","",""
"OffenseEntryPoint","","","",""
"OffenseForce","","","",""
"SubjectRole","","","",""
"VictimRole","","","",""
"VictimInjury","","","",""
"ItemStatus","","","",""
"LocationLocale","","","",""
"ItemValue","","","",""
"Amount","","","",""
"MeasureIntegerRange","","","",""
"MeasureRangeAbstract","","","",""
"SubstanceQuantityMeasure","","","",""
