# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
biom:CBEFFCategoryCodeSimpleType | xs:hexBinary | simple_value | 0 | A data type for a code for describing a biometric modality defined by CBEFF | -
biom:CBEFFCategoryCodeType | biom:CBEFFCategoryCodeSimpleType | complex_value | 0 | A data type for describing a biometric modality defined by CBEFF | -
biom:CBEFFImageType | nc:ImageType | object | 6 | A data type for a CBEFF record | CBEFFCategoryCode, CBEFFFormatCategoryID, CBEFFFormatOwnerID, CBEFFImageAugmentationPoint, CBEFFVersionID, ResolutionMethodInformation
biom:CSPCodeSimpleType | xs:token | simple_value | 0 | A data type for each of the available color spaces for images | -
biom:CSPCodeType | biom:CSPCodeSimpleType | complex_value | 0 | A data type for the available color spaces for images | -
biom:CaptureDeviceMonitoringModeCodeSimpleType | xs:token | simple_value | 0 | A data type for a level of human monitoring for an image capture device | -
biom:CaptureDeviceMonitoringModeCodeType | biom:CaptureDeviceMonitoringModeCodeSimpleType | complex_value | 0 | A data type for a level of human monitoring for an image capture device | -
biom:CaptureResolutionCodeSimpleType | xs:integer | simple_value | 0 | A data type for a minimum or native scanning resolution | -
biom:CaptureResolutionCodeType | biom:CaptureResolutionCodeSimpleType | complex_value | 0 | A data type for a minimum or native scanning resolution | -
biom:CheiloscopicImageInformationType | - | object | 19 | A data type that is particularly useful if the image contained in this record is of an injury or latent image on a perso | CheiloscopicImageInformationAugmentationPoint, LipContactLineDescriptorCode, LipPositionTensionDescriptiveText, LipPrintCharacterizationText, LipPrintComparisonDescriptiveText, LipPrintDescriptiveText, LipPrintHeightValue, LipPrintMediumCode
biom:CodecCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for an enumeration of codecs capable of encoding or decoding a digital data stream or signal. | -
biom:CodecCategoryCodeType | biom:CodecCategoryCodeSimpleType | complex_value | 0 | A data type for a representation of codecs capable of encoding or decoding a digital data stream or signal. | -
biom:CodecDetailsType | - | object | 9 | A data type for a container of descriptive information about the encoding of a digital media data file. | CodecCategoryCode, CodecCommentText, CodecDetailsAugmentationPoint, CodecExternalReferenceCodeText, NumericFormatText, RecordingBitDepthValue, RecordingChannelsQuantity, RecordingEndianCode
biom:ContentDiaryInformationType | biom:DiaryInformationType | object | 8 | A data type lists highly-detailed timings within the voice recording of specific audio segments of interest. | ContentDiaryInformationAugmentationPoint, OriginalRecordingDate, SegmentRecordingEndDateTime, SegmentRecordingStartDateTime, TagEndDateTime, TagStartDateTime, TimeCommentText, TimeSourceDescriptionText
biom:ContentInformationType | - | object | 4 | A data type for indicating a recording's diarization status and the diarizing agency | ContentInformationAugmentationPoint, DiarizationIndicatorCode, ProcessingAuthorityText, ProcessingCommentText
biom:ContentRecordSummaryType | - | object | 4 | A data type for a summary of the contents of one record in the transaction other than the Type-1 transaction record | ANSIRecordCategoryCode, ContentRecordSummaryAugmentationPoint, ImageReferenceID, ImageReferenceIdentification
biom:ContextFileFormatType | - | object | 3 | A data type for a description of a file holding an associated context representation, and decoding instructions | ContextFileCategoryText, ContextFileDecodingInstructionsText, ContextFileFormatAugmentationPoint
biom:ContextMediaDetailType | - | object | 6 | A data type for the details of a biometric context media file | BiometricCapture, ContextMediaDetailAugmentationPoint, ImageSegment, MedicalDevice, SubjectExistentialDetails, TimeSegment
biom:DNAAlleleOperatorCodeSimpleType | xs:token | simple_value | 0 | A data type for a description of the operation for the allele call(s) | -
biom:DNAAlleleOperatorCodeType | biom:DNAAlleleOperatorCodeSimpleType | complex_value | 0 | A data type for a description of the operation for the allele call(s) | -
biom:DNAAlleleType | - | object | 6 | A data type for a description of a DNA fragment data that occupies a given locus (position) on a chromosome and detected | DNAAlleleAugmentationPoint, DNAAlleleCall1Text, DNAAlleleCall2Text, DNAAlleleOperatorCode, DNAAllelePeakHeightValue, DNAAlleleRequiredIndicator
biom:DNAAnalysisProcessType | - | object | 9 | A data type for a description of the DNA analysis process used (e.g. DNA genotype analysis software, DNA mixture deconvo | DNAAnalysisProcessAugmentationPoint, DNAAnalysisProcessManufacturerName, DNAAnalysisProcessSite, DNAAnalysisProcessSoftware, DNAAnalysisProcessingEntity, DNALaboratoryAccreditation, ProcessDescriptionText, ProcessName
biom:DNAAnalysisQuantityCodeSimpleType | xs:integer | simple_value | 0 | A data type for a number of DNA analyses | -
biom:DNAAnalysisQuantityCodeType | biom:DNAAnalysisQuantityCodeSimpleType | complex_value | 0 | A data type for a number of DNA analyses | -
biom:DNAAnalysisType | - | object | 3 | A data type for a description of the DNA analysis data or "raw" data | DNAAnalysisAugmentationPoint, DNAElectropherogram, DNAFragmentSequenceAnalysis
biom:DNACartridgeType | - | object | 3 | A data type for a description of the DNA cartridge or chip used, usually, on a Rapid DNA instrument | DNACartridgeAugmentationPoint, DNACartridgeIdentification, DNACartridgeName
biom:DNACategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a category of DNA data | -
biom:DNACategoryCodeType | biom:DNACategoryCodeSimpleType | complex_value | 0 | A data type for a category of DNA data | -
biom:DNACellularCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of origination cell from where a DNA sample was collected | -
biom:DNACellularCategoryCodeType | biom:DNACellularCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of origination cell from where a DNA sample was collected | -
biom:DNADonorCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of DNA donor | -
biom:DNADonorCategoryCodeType | biom:DNADonorCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of DNA donor | -
biom:DNADonorDentalRecordsAvailableCodeSimpleType | xs:integer | simple_value | 0 | A data type for a DNA donor dental record availability code | -
biom:DNADonorDentalRecordsAvailableCodeType | biom:DNADonorDentalRecordsAvailableCodeSimpleType | complex_value | 0 | A data type for a DNA donor dental record availability code | -
biom:DNADonorStatusCodeSimpleType | xs:integer | simple_value | 0 | A data type for a DNA donor status code | -
biom:DNADonorStatusCodeType | biom:DNADonorStatusCodeSimpleType | complex_value | 0 | A data type for a DNA donor status code | -
biom:DNADonorType | nc:PersonType | object | 7 | A data type for a subject of a DNA sample | DNADonorAugmentationPoint, DNADonorCategoryCode, DNADonorCollectionLocationDescriptionText, DNADonorDentalRecordsAvailableCode, DNADonorLastContactDate, DNADonorStatusCode, SubjectExistentialStatusCode
biom:DNAElectropherogramType | - | object | 6 | A data type for a DNA electropherogram | DNAElectropherogramAugmentationPoint, DNAElectropherogramBinaryObject, DNAElectropherogramDataDescriptionText, DNAElectropherogramFileStorageText, DNAElectropherogramID, DNAElectropherogramScreenshotImage
biom:DNAEncodingType | - | object | 13 | A data type for an encoding or representation of the DNA data from a person (can be a composite profile based on multipl | DNAAnalysis, DNACommentText, DNAEncodingAugmentationPoint, DNALaboratoryAccreditation, DNALowTemplateIndicator, DNAMitoData, DNAProcess, DNAProfilePartialIndicator
biom:DNAFragmentSequenceAnalysisCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a category of fragment sequence analysis (FSA) | -
biom:DNAFragmentSequenceAnalysisCategoryCodeType | biom:DNAFragmentSequenceAnalysisCategoryCodeSimpleType | complex_value | 0 | A data type for a category of fragment sequence analysis (FSA) | -
biom:DNAFragmentSequenceAnalysisType | - | object | 5 | A data type for a description of the DNA fragment sequence analysis (FSA) data | DNAFragmentSequenceAnalysisAugmentationPoint, DNAFragmentSequenceAnalysisBinaryObject, DNAFragmentSequenceAnalysisCategoryCode, DNAFragmentSequenceAnalysisFileStorageText, DNAFragmentSequenceAnalysisID
biom:DNAGenotypeAllelePairType | - | object | 4 | A data type for a DNA genotype allele pair | DNAGenotypeAllelePairAugmentationPoint, DNAGenotypeAllelePairText, DNALocusGenotypeProbabilityValue, DNALocusReferenceID
biom:DNAGenotypeDistributionCodeSimpleType | xs:integer | simple_value | 0 | A data type for a DNA genotype distribution code | -
biom:DNAGenotypeDistributionCodeType | biom:DNAGenotypeDistributionCodeSimpleType | complex_value | 0 | A data type for a DNA genotype distribution code | -
biom:DNAInstrumentProcessType | biom:DeviceType | object | 8 | A data type for a description of the DNA instrument testing process used to produce DNA raw data and in most cases, a DN | DNAAnalysisProcessingEntity, DNACartridge, DNAInstrumentProcessAugmentationPoint, DNAInstrumentSite, DNAInstrumentSoftware, DNALaboratoryAccreditation, ProcessDescriptionText, ProcessUTCDate
biom:DNAKitType | - | object | 5 | A data type for a DNA kit | DNAKitAugmentationPoint, DNAKitDescriptionText, DNAKitManufacturerName, DNAKitName, DNAKitReferenceID
biom:DNALaboratoryAccreditationLevelCodeSimpleType | xs:integer | simple_value | 0 | A data type for a level of DNA laboratory accreditation | -
biom:DNALaboratoryAccreditationLevelCodeType | biom:DNALaboratoryAccreditationLevelCodeSimpleType | complex_value | 0 | A data type for a level of DNA laboratory accreditation | -
biom:DNALaboratoryAccreditationScopeCodeSimpleType | xs:token | simple_value | 0 | A data type for a DNA laboratory accreditation scope code | -
biom:DNALaboratoryAccreditationScopeCodeType | biom:DNALaboratoryAccreditationScopeCodeSimpleType | complex_value | 0 | A data type for a DNA laboratory accreditation scope code | -
biom:DNALaboratoryAccreditationType | - | object | 3 | A data type for a description of the accreditation level of the organization responsible for processing DNA samples | DNALaboratoryAccreditationAugmentationPoint, DNALaboratoryAccreditationLevelCode, DNALaboratoryAccreditationScopeCode
biom:DNALaboratoryCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of DNA laboratory | -
biom:DNALaboratoryCategoryCodeType | biom:DNALaboratoryCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of DNA laboratory | -
biom:DNALaboratoryType | nc:OrganizationType | object | 6 | A data type for an organization responsible for processing DNA samples | DNALaboratoryAccreditation, DNALaboratoryAugmentationPoint, DNALaboratoryCategoryCode, DNALaboratoryInternationalOrganizationName, DNALaboratoryProcessingCountry, DNALaboratoryUnitCategoryCode
biom:DNALaboratoryUnitCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of DNA laboratory unit | -
biom:DNALaboratoryUnitCategoryCodeType | biom:DNALaboratoryUnitCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of DNA laboratory unit | -
biom:DNALocusCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a locus category: "Autosomal", "X-STR", "Y-STR", "Other" | -
