# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
cyber:CongressionalReportType | - | object | 3 | A data type for a report of an incident to Congress | CongressionalReportAugmentationPoint, CyberIncidentReportedCongressionalCommitteeDescriptionText, CyberIncidentReportedToCongressDateTime
cyber:CourseOfActionType | - | object | 6 | A data type for an action taken to prevent or respond to an incident | BackupCourseOfAction, CourseOfActionAugmentationPoint, CourseOfActionDescriptionText, CourseOfActionName, CourseOfActionSuccessIndicator, ExtortionCourseOfAction
cyber:CyberAnalyticProgrammingStatementType | - | object | 2 | A data type for an implementation of a cyber analytic | CyberAnalyticProgrammingStatementAugmentationPoint, CyberAnalyticProgrammingStatementText
cyber:CyberAnalyticType | - | object | 5 | A data type for an analytic related to a cyber incident | AttackPattern, CyberAnalyticAugmentationPoint, CyberAnalyticDescriptionText, CyberAnalyticProgrammingStatement, Platform
cyber:CyberEnterpriseSubTechniqueCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of specific representation for an enterprise sub-technique that describes 'how' an adversary achi | -
cyber:CyberEnterpriseSubTechniqueCodeType | cyber:CyberEnterpriseSubTechniqueCodeSimpleType | complex_value | 0 | A data type for a kind of specific representation for an enterprise sub-technique that describes 'how' an adversary achi | -
cyber:CyberEnterpriseTechniqueCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of specific representation for an enterprise technique that describes 'how' an adversary achieves | -
cyber:CyberEnterpriseTechniqueCodeType | cyber:CyberEnterpriseTechniqueCodeSimpleType | complex_value | 0 | A data type for a kind of specific representation for an enterprise technique that describes 'how' an adversary achieves | -
cyber:CyberIncidentType | nc:IncidentType | object | 48 | A data type for a cyber event that may require a response | AccidentIndicator, AdversaryCommunication, AttackPattern, AttackVector, Breach, CaseTrackingID, CompromisedCommunication, CompromisedDevice
cyber:CyberIndicatorPatternDefensiveMeasureCodeSimpleType | xs:token | simple_value | 0 | A data type designating the availability of an action to counteract the indicator of compromise. | -
cyber:CyberIndicatorPatternDefensiveMeasureCodeType | cyber:CyberIndicatorPatternDefensiveMeasureCodeSimpleType | complex_value | 0 | A data type designating the availability of an action to counteract the indicator of compromise. | -
cyber:CyberIndicatorPatternDiamondModelClassificationCodeSimpleType | xs:token | simple_value | 0 | A data type for a classification of an indicator by kind of Diamond Model component | -
cyber:CyberIndicatorPatternDiamondModelClassificationCodeType | cyber:CyberIndicatorPatternDiamondModelClassificationCodeSimpleType | complex_value | 0 | A data type for a classification of an indicator by kind of Diamond Model component | -
cyber:CyberIndicatorPatternType | - | object | 9 | A data type for a pattern that can be used to detect suspicious or malicious cyber activity | CyberIndicatorPatternAugmentationPoint, CyberIndicatorPatternDefensiveMeasureCode, CyberIndicatorPatternDefensiveMeasureComplianceIndicator, CyberIndicatorPatternDefensiveMeasureText, CyberIndicatorPatternDescriptionText, CyberIndicatorPatternDiamondModelClassificationCode, CyberIndicatorPatternName, KillChainPhase
cyber:CyberInsuranceClaimType | - | object | 6 | A data type for cyber insurance | CyberInsuranceClaimAugmentationPoint, InsuranceClaimFiledIndicator, InsuranceClaimResponseCategoryCode, InsuranceResponseIndicator, InsuranceResponseShareIndicator, InsuranceResponseSharingDescriptionText
cyber:CyberMobileTechniqueCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of specific representation for a mobile technique that describes 'how' an adversary achieves a ta | -
cyber:CyberMobileTechniqueCodeType | cyber:CyberMobileTechniqueCodeSimpleType | complex_value | 0 | A data type for a kind of specific representation for a mobile technique that describes 'how' an adversary achieves a ta | -
cyber:CyberNetworkCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of cyber network. | -
cyber:CyberNetworkCategoryCodeType | cyber:CyberNetworkCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of cyber network. | -
cyber:CyberNetworkType | - | object | 15 | A data type that contains information about a cyber network of connected devices. | CyberNetworkAugmentationPoint, CyberNetworkCategoryCode, CyberNetworkDHCPServer, CyberNetworkDescriptionText, CyberNetworkGateway, CyberNetworkIPv4NetworkMaskText, CyberNetworkIPv6NetworkMaskText, CyberNetworkLocation
cyber:CyberObservableDNSHostnameObjectType | cyber:CyberObservableObjectType | object | 4 | A data type for an object for that represents the system host that is the subject of an observation | CyberObservableDNSHostnameObjectAugmentationPoint, CyberObservableDestinationIndicator, CyberObservableObjectValueText, CyberObservableSourceIndicator
cyber:CyberObservableDomainNameObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for an object that represents the properties of a network domain name that is the subject of an observation | CyberObservableDomainNameObjectAugmentationPoint, CyberObservableObjectValueText
cyber:CyberObservableIPv4AddressObjectType | cyber:CyberObservableObjectType | object | 4 | A data type for an object that represents one or more IPv4 addresses that is the subject of an observation | CyberObservableDestinationIndicator, CyberObservableIPv4AddressObjectAugmentationPoint, CyberObservableObjectValueText, CyberObservableSourceIndicator
cyber:CyberObservableIPv6AddressObjectType | cyber:CyberObservableObjectType | object | 4 | A data type for an object that represents one or more IPv6 addresses that is the subject of an observation | CyberObservableDestinationIndicator, CyberObservableIPv6AddressObjectAugmentationPoint, CyberObservableObjectValueText, CyberObservableSourceIndicator
cyber:CyberObservableInformationSystemObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for an information system that is the subject of an observation | CyberObservableInformationSystemObjectAugmentationPoint, CyberObservableObjectValueText
cyber:CyberObservableInternetServiceProviderObjectType | - | object | 2 | A data type for the Internet Service Provider (ISP) of an observable object. | CyberObservableInternetServiceProviderObjectAugmentationPoint, CyberObservableObjectValueText
cyber:CyberObservableNetworkObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for a network object that is the subject of an observation | CyberObservableNetworkObjectAugmentationPoint, CyberObservableObjectValueText
cyber:CyberObservableNetworkTrafficObjectType | cyber:CyberObservableObjectType | object | 4 | A data type for an object that represents the arbitrary network traffic originating from a source and is addressed to a  | CyberObservableNetworkTrafficObjectAugmentationPoint, DestinationPortID, Protocol, SourcePortID
cyber:CyberObservableObjectType | - | object | 2 | A data type for an action or stateful property that occurs, or may occur, in the operational cyber environment | CyberObservableObjectAugmentationPoint, CyberObservableObjectName
cyber:CyberObservableSocialMediaPlatformObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for an object that represents the properties of a network domain name data type for a social media platform  | CyberObservableObjectValueText, CyberObservableSocialMediaPlatformObjectAugmentationPoint
cyber:CyberObservableSubNetworkObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for a sub-network object that is the subject of an observation | CyberObservableObjectValueText, CyberObservableSubNetworkObjectAugmentationPoint
cyber:CyberObservableURLObjectType | cyber:CyberObservableObjectType | object | 2 | A data type for an object that represents the properties of a uniform resource locator (URL) that is the subject of an o | CyberObservableObjectValueText, CyberObservableURLObjectAugmentationPoint
cyber:CyberOriginalNotifierType | - | object | 7 | A data type for an entity who provided the original notification of a potential incident. | CyberOriginalNotifierAugmentationPoint, NotificationPromptedReasonDescriptionText, NotificationReasonDescriptionText, NotifyingAgencyCategoryCode, NotifyingAgencyCategoryCodeDescriptionText, OriginalAgencyNotifier, OriginalPersonNotifier
cyber:CyberTTPType | - | object | 4 | A data type that describes the "why," "how," and specific implementation the adversary uses. | CyberProcedureDescriptionText, CyberTTPAugmentationPoint, CyberTactic, CyberTechnique
cyber:CyberTacticCodeSimpleType | xs:token | simple_value | 0 | A data type for the specific tactical goal and reason why an actor performs a technique or sub-technique. | -
cyber:CyberTacticCodeType | cyber:CyberTacticCodeSimpleType | complex_value | 0 | A data type for the specific tactical goal and reason why an actor performs a technique or sub-technique. | -
cyber:CyberTacticType | - | object | 3 | A data type for the tactical goal and reason why an actor performs a technique or sub-technique. | CyberTacticAugmentationPoint, CyberTacticCode, CyberTacticOtherDescriptionText
cyber:CyberTechniqueType | - | object | 7 | A data type for the representation of 'how' an adversary achieves a tactical goal by performing an action. | CyberEnterpriseSubTechniqueCode, CyberEnterpriseSubTechniqueOtherDescriptionText, CyberEnterpriseTechniqueCode, CyberEnterpriseTechniqueOtherDescriptionText, CyberMobileTechniqueCode, CyberMobileTechniqueOtherDescriptionText, CyberTechniqueAugmentationPoint
cyber:CyberVulnerabilityType | - | object | 6 | A data type for a weakness that can be exploited by a threat actor | CommonVulnerabilityEnumeration, CyberVulnerabilityAugmentationPoint, VulnerabilityExploitAvailability, VulnerabilityIsKnownIndicator, VulnerabilityIsPublicIndicator, VulnerabilityWidespreadCode
cyber:DataClassificationAppealType | - | object | 5 | A data type for an appeal or challenge related to the security classification of data | DataClassificationAppealAugmentationPoint, DataClassificationAppealDate, DataClassificationAppealDecisionDate, DataClassificationAppealDecisionDescriptionText, DataClassificationAppealOrganizationName
cyber:DataClassificationType | - | object | 3 | A data type for a security classification of data | DataClassificationAppeal, DataClassificationAugmentationPoint, DataClassificationReferenceDescriptionText
cyber:DeclarationOfEmergencyType | - | object | 5 | A data type for the formal Declaration of an Emergency | DeclarationOfEmergencyAugmentationPoint, DeclarationOfEmergencyDesignator, EndDate, ResourceDeploymentReasonText, StartDate
cyber:EndpointType | - | object | 4 | A data type for a category of an endpoint | EndpointAugmentationPoint, EndpointCategoryName, EndpointClassificationCategoryName, EndpointOtherDescriptionText
cyber:ExchangePolicyInformationEncryptionCodeSimpleType | xs:token | simple_value | 0 | A data type for a policy governing the encryption of information when retransmitted by the recipient | -
cyber:ExchangePolicyInformationEncryptionCodeType | cyber:ExchangePolicyInformationEncryptionCodeSimpleType | complex_value | 0 | A data type for a policy governing the encryption of information when retransmitted by the recipient | -
cyber:ExchangePolicyInformationProviderAttributionCodeSimpleType | xs:token | simple_value | 0 | A data type for a policy governing the attribution of the information provider when redistributing the information recei | -
cyber:ExchangePolicyInformationProviderAttributionCodeType | cyber:ExchangePolicyInformationProviderAttributionCodeSimpleType | complex_value | 0 | A data type for a policy governing the attribution of the information provider when redistributing the information recei | -
cyber:ExchangePolicyInformationResaleCodeSimpleType | xs:token | simple_value | 0 | A data type for a policy governing the resale of information received by the recipient | -
cyber:ExchangePolicyInformationResaleCodeType | cyber:ExchangePolicyInformationResaleCodeSimpleType | complex_value | 0 | A data type for a policy governing the resale of information received by the recipient | -
cyber:ExchangePolicyNotificationCodeSimpleType | xs:token | simple_value | 0 | A data type for a statement of whether an affected entity may be notified of a compromise or threat or not | -
cyber:ExchangePolicyNotificationCodeType | cyber:ExchangePolicyNotificationCodeSimpleType | complex_value | 0 | A data type for a statement of whether an affected entity may be notified of a compromise or threat or not | -
cyber:ExchangePolicyPermittedActionCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of permitted action or use of information that can be taken by a recipient | -
cyber:ExchangePolicyPermittedActionCategoryCodeType | cyber:ExchangePolicyPermittedActionCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of permitted action or use of information that can be taken by a recipient | -
cyber:ExtortionCommunicationDetailsType | - | object | 3 | A data type for details regarding communication with and from the adversary. | ExtortionCommunicationDetailsAugmentationPoint, ExtortionDemandAmount, ExtortionTermText
cyber:ExtortionCourseOfActionType | - | object | 9 | A data type for the actions related to an extortion demand. | ExtortedDataDecryptionKeySuccessRate, ExtortedDataDecryptionKeyText, ExtortedDataRecoveredIndicator, ExtortedDataRecoveredPercent, ExtortionCourseOfActionAugmentationPoint, ExtortionPaidAmount, ExtortionPaidDate, ExtortionPaidIndicator
cyber:IncidentAssistanceRequiredCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of assistance required to respond to an incident | -
cyber:IncidentAssistanceRequiredCategoryCodeType | cyber:IncidentAssistanceRequiredCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of assistance required to respond to an incident | -
cyber:IncidentAssistanceType | - | object | 7 | A data type for assistance required with an incident | IncidentAnalysisResultsShareIndicator, IncidentAssistanceAugmentationPoint, IncidentAssistanceRequiredCategoryCode, IncidentLogAvailableIndicator, IncidentLogDescriptionText, IncidentLogShareIndicator, NetworkMapAvailableIndicator
cyber:IncidentComplianceDriverType | - | object | 6 | A data type for mandatory information reporting to an entity after an incident | BreachNotificationMethod, ComplianceDriverReportedDate, ComplianceDriverReportedToEntityDescriptionText, ComplianceDriverViolatedText, IncidentComplianceDriverAugmentationPoint, IncidentReportedComplianceDriverIndicator
cyber:IncidentConsequenceCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of consequence resulting from an incident | -
cyber:IncidentConsequenceCategoryCodeType | cyber:IncidentConsequenceCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of consequence resulting from an incident | -
cyber:IncidentConsequenceType | - | object | 8 | A data type for the series of details about the consequences of an incident. | IncidentConsequenceAugmentationPoint, IncidentConsequenceCategoryCode, IncidentConsequenceContractsBreachIndicator, IncidentConsequenceContractsDescriptionText, IncidentConsequenceDescriptionText, IncidentConsequenceRecoverabilityActualDuration, IncidentConsequenceRecoverabilityAssessmentDescriptionText, IncidentConsequenceRecoverabilityEstimatedDuration
cyber:IncidentContainmentCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for the category code for the description of the containment of the incident. | -
cyber:IncidentContainmentCategoryCodeType | cyber:IncidentContainmentCategoryCodeSimpleType | complex_value | 0 | A data type for the category code for the description of the containment of the incident. | -
cyber:IncidentDiscoveryMethodType | - | object | 3 | A data type for how an incident is detected | IncidentDiscoveryMethodAugmentationPoint, IncidentDiscoveryMethodCode, IncidentDiscoveryOtherMethodDescriptionText
cyber:IncidentDocumentAssociationType | nc:AssociationType | association | 3 | A data type for an association between an incident and a document | Document, Incident, IncidentDocumentAssociationAugmentationPoint
cyber:IncidentElectronicAddressAssociationType | nc:AssociationType | association | 4 | A data type for an association between an incident and an electronic address | ElectronicAddress, Incident, IncidentElectronicAddressAssociationAugmentationPoint, IncidentElectronicAddressAssociationDescriptionText
cyber:IncidentEndpointImpactType | - | object | 4 | A data type for an endpoint impacted by an incident | Endpoint, IncidentEndpointImpactAugmentationPoint, IncidentImpactedEndpointQuantity, IncidentImpactedUserQuantity
cyber:IncidentFunctionalImpactSeverityCodeSimpleType | xs:token | simple_value | 0 | A data type for the level of severity of the functional impact of an incident | -
cyber:IncidentFunctionalImpactSeverityCodeType | cyber:IncidentFunctionalImpactSeverityCodeSimpleType | complex_value | 0 | A data type for the level of severity of the functional impact of an incident | -
cyber:IncidentImpactedPlatformType | - | object | 1 | A data type for a platform impacted by the incident | IncidentImpactedPlatformAugmentationPoint
cyber:IncidentInfectedDeviceType | - | object | 5 | A data type for the kind of device infected by a cyber incident | AttackVector, Hardware, IncidentInfectedDeviceAugmentationPoint, IncidentInfectedDeviceInitialIndicator, InfectedDeviceConnectionIndicator
cyber:IncidentInformationalImpactSeverityCodeSimpleType | xs:token | simple_value | 0 | A data type for the level of severity of the informational impact of an incident | -
cyber:IncidentInformationalImpactSeverityCodeType | cyber:IncidentInformationalImpactSeverityCodeSimpleType | complex_value | 0 | A data type for the level of severity of the informational impact of an incident | -
cyber:IncidentNotificationType | - | object | 10 | A data type for a notification of an incident | IncidentComplianceDriver, IncidentNotificationAugmentationPoint, IncidentNotifiedEntityCategoryCode, IncidentNotifiedEntityOtherDescriptionText, InvolvedEntity, InvolvedEntityDescriptionText, InvolvedEntityName, MediaNotificationRequiredIndicator
cyber:IncidentNotifiedEntityCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of entity notified of an incident | -
cyber:IncidentNotifiedEntityCategoryCodeType | cyber:IncidentNotifiedEntityCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of entity notified of an incident | -
cyber:IncidentOverallImpactSeverityCodeSimpleType | xs:token | simple_value | 0 | A data type for the level of severity of the impact of an incident against the business as a whole. | -
cyber:IncidentOverallImpactSeverityCodeType | cyber:IncidentOverallImpactSeverityCodeSimpleType | complex_value | 0 | A data type for the level of severity of the impact of an incident against the business as a whole. | -
cyber:IncidentRecoverabilityAssessmentCodeSimpleType | xs:token | simple_value | 0 | A data type for an estimate of the scope of resources needed to recover from an incident | -
cyber:IncidentRecoverabilityAssessmentCodeType | cyber:IncidentRecoverabilityAssessmentCodeSimpleType | complex_value | 0 | A data type for an estimate of the scope of resources needed to recover from an incident | -
cyber:IncidentResponseForensicsCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for the category describing the forensics response. | -
cyber:IncidentResponseForensicsCategoryCodeType | cyber:IncidentResponseForensicsCategoryCodeSimpleType | complex_value | 0 | A data type for the category describing the forensics response. | -
cyber:IncidentResponseLessonLearnedCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of lesson learned for responding to a future incident | -
cyber:IncidentResponseLessonLearnedCategoryCodeType | cyber:IncidentResponseLessonLearnedCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of lesson learned for responding to a future incident | -
cyber:IncidentResponseLessonLearnedType | - | object | 3 | A data type for a lesson learned for an incident response | IncidentResponseLessonLearnedAugmentationPoint, LessonLearnedCategoryCode, LessonLearnedDescriptionText
cyber:IncidentResponseStatusType | - | object | 6 | A data type for the status of the incident response activity | IncidentResponseCompleteContainmentDate, IncidentResponseContainmentCategoryCode, IncidentResponseEvidenceText, IncidentResponseForensicsCategoryCode, IncidentResponseStatusAugmentationPoint, IncidentResponseStatusDescriptionText
cyber:IncidentResponseType | - | object | 15 | A data type for a response to an incident | IncidentAssistance, IncidentContainmentStrategy, IncidentEradicationStrategy, IncidentRecoverabilityEstimateDescriptionText, IncidentRecoverabilityEstimatedDate, IncidentRecoveryStrategy, IncidentResponseApplicablePlan, IncidentResponseAugmentationPoint
cyber:IncidentServicesImpactSeverityCodeSimpleType | xs:token | simple_value | 0 | A data type for the level of severity of the impact to internally-facing services by an incident. | -
cyber:IncidentServicesImpactSeverityCodeType | cyber:IncidentServicesImpactSeverityCodeSimpleType | complex_value | 0 | A data type for the level of severity of the impact to internally-facing services by an incident. | -
cyber:IncidentSeverityType | - | object | 12 | A data type for the severity of an incident | IncidentEstimatedSeverityDescriptionText, IncidentFunctionalImpactSeverityCode, IncidentFunctionalImpactSeverityDescriptionText, IncidentInformationalImpactSeverityCode, IncidentInformationalImpactSeverityDescriptionText, IncidentOverallImpactSeverityCode, IncidentOverallImpactSeverityDescriptionText, IncidentPotentialImpactText
cyber:IncidentStrategyType | - | object | 5 | A data type for a strategy used in responding to an incident | IncidentStrategyAugmentationPoint, IncidentStrategyDescriptionText, IncidentStrategyRevisedDescriptionText, IncidentStrategyRevisedReasonDescriptionText, IncidentStrategySuccessIndicator
cyber:IncidentSystemImpactType | - | object | 6 | A data type for an information system impacted by an incident | FISMAIndicator, IncidentSystemImpactAugmentationPoint, IncidentSystemImpactDescriptionText, IncidentSystemJeopardyCode, SystemCategoryName, SystemName
cyber:IncidentSystemJeopardyCodeSimpleType | xs:token | simple_value | 0 | A data type for an indication of whether an incident actually or imminently jeopardizes the integrity, confidentiality,  | -
cyber:IncidentSystemJeopardyCodeType | cyber:IncidentSystemJeopardyCodeSimpleType | complex_value | 0 | A data type for an indication of whether an incident actually or imminently jeopardizes the integrity, confidentiality,  | -
cyber:IncidentUserCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of user role with respect to an incident | -
cyber:IncidentUserCategoryCodeType | cyber:IncidentUserCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of user role with respect to an incident | -
cyber:InformationExchangePolicyType | - | object | 7 | A data type for a policy governing an information exchange | ExchangePolicyInformationEncryptionCode, ExchangePolicyInformationProviderAttributionCode, ExchangePolicyInformationResaleCode, ExchangePolicyNotificationCode, ExchangePolicyPermittedActionCategoryCode, InformationExchangePolicyAugmentationPoint, TrafficLightProtocolCode
cyber:InsuranceClaimResponseCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of assistance provided by cyber insurance company | -
cyber:InsuranceClaimResponseCategoryCodeType | cyber:InsuranceClaimResponseCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of assistance provided by cyber insurance company | -
cyber:KillChainPhaseType | - | object | 3 | A data type for a phase in a kill chain, which describes the various phases an attacker may undertake in order to achiev | KillChainName, KillChainPhaseAugmentationPoint, KillChainPhaseName
cyber:MajorIncidentType | - | object | 3 | A data type for a major incident | CongressionalReport, MajorIncidentAugmentationPoint, MajorIncidentDesignationReasonText
cyber:MalwareType | - | object | 7 | A data type for software or firmware intended to perform an unauthorized process that will have adverse impact on the co | MalwareAliasName, MalwareAugmentationPoint, MalwareDescriptionText, MalwareHashAlgorithmText, MalwareHashText, MalwareName, RansomwareIndicator
cyber:NotifyingAgencyCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a category code for an agency who provided the original notification of a potential incident. | -
cyber:NotifyingAgencyCategoryCodeType | cyber:NotifyingAgencyCategoryCodeSimpleType | complex_value | 0 | A data type for a category code for an agency who provided the original notification of a potential incident. | -
cyber:ObservedDataType | - | object | 7 | A data type for a cyber security entity, such as a file, system, or network, that has been observed at a particular time | CyberObservableObject, CyberObservableObjectGapDuration, CyberObservableObjectObservedDuration, FirstObservedDate, LastObservedDate, ObservedDataAugmentationPoint, ObservedQuantity
cyber:OrganizationCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of organization | -
cyber:OrganizationCategoryCodeType | cyber:OrganizationCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of organization | -
cyber:PlatformType | - | object | 31 | A data type for the kind of operating system and hardware on which software applications can be run | PlatformAugmentationPoint, PlatformCPSIndicator, PlatformCategoryDescriptionText, PlatformConduitText, PlatformCriticalityRatingText, PlatformEditionText, PlatformImpactRatingText, PlatformLanguageText
cyber:ProtocolCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of network protocol used for communication | -
cyber:ProtocolCategoryCodeType | cyber:ProtocolCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of network protocol used for communication | -
cyber:ProtocolType | - | object | 4 | A data type for an established set of rules that determine how data is transmitted between different devices in the same | ProtocolAugmentationPoint, ProtocolCategoryCode, ProtocolID, ProtocolName
cyber:ResponderType | nc:EntityType | object | 5 | A data type for an external entity assisting with a cyber incident | ResponderAugmentationPoint, ResponderOnsiteEndDateTime, ResponderOnsiteQuantity, ResponderOnsiteStartDateTime, ResponderOnsiteTimeDuration
cyber:SecurityIncidentActualityCodeSimpleType | xs:token | simple_value | 0 | A data type for the indication of the actual status of the security incident, based on VERIS codes. | -
cyber:SecurityIncidentActualityCodeType | cyber:SecurityIncidentActualityCodeSimpleType | complex_value | 0 | A data type for the indication of the actual status of the security incident, based on VERIS codes. | -
cyber:SignificantIncidentType | - | object | 3 | A data type for a significant incident | SignificantIncidentAugmentationPoint, SignificantIncidentDesignationReasonText, SignificantIncidentDesignator
cyber:TrafficLightProtocolCodeSimpleType | xs:token | simple_value | 0 | A data type for a statement of the permitted redistribution of received information | -
cyber:TrafficLightProtocolCodeType | cyber:TrafficLightProtocolCodeSimpleType | complex_value | 0 | A data type for a statement of the permitted redistribution of received information | -
cyber:UnattributedCyberIntrusionType | - | object | 5 | A data type that captures information about unattributed cyber intrusions | UnattributedCyberIntrusionAnswerIndicator, UnattributedCyberIntrusionAugmentationPoint, UnattributedCyberIntrusionQuestionCategoryName, UnattributedCyberIntrusionQuestionSubcategoryName, UnattributedCyberIntrusionQuestionText
cyber:UserType | nc:PersonType | object | 2 | A data type for a person operating in the role of a user | IncidentUserCategoryCode, UserAugmentationPoint
cyber:VulnerabilityExploitAvailabilityType | - | object | 3 | A data type for the possibility for a vulnerability to be exploited. | VulnerabilityExploitAvailabilityAugmentationPoint, VulnerabilityExploitDescriptionText, VulnerabilityExploitationAvailabilityCode
cyber:VulnerabilityExploitationAvailabilityCodeSimpleType | xs:token | simple_value | 0 | A data type for a category code of a vulnerability's ability to be exploited. | -
cyber:VulnerabilityExploitationAvailabilityCodeType | cyber:VulnerabilityExploitationAvailabilityCodeSimpleType | complex_value | 0 | A data type for a category code of a vulnerability's ability to be exploited. | -
cyber:VulnerabilityWidespreadCodeSimpleType | xs:token | simple_value | 0 | A data type for information about how many entities are impacted by a vulnerability. | -
cyber:VulnerabilityWidespreadCodeType | cyber:VulnerabilityWidespreadCodeSimpleType | complex_value | 0 | A data type for information about how many entities are impacted by a vulnerability. | -
em:AccessType | - | object | 6 | A data type for a credential class that describes the access rights | AccessAugmentationPoint, AccessRightDescriptionText, EffectiveDate, ElectronicAccessRightCode, ExpirationDate, PhysicalAccessLevelCode
em:ActivityActivationCodeSimpleType | xs:token | simple_value | 0 | A data type for a decision as to whether an activity should be activated or deactivated. | -
em:ActivityActivationCodeType | em:ActivityActivationCodeSimpleType | complex_value | 0 | A data type for a decision as to whether an activity should be activated or deactivated. | -
em:ActivityResponseCoordinationType | - | object | 3 | A data type for a set of information about the coordination of a response to an activity or event. | ActivityResponseCoordinationAugmentationPoint, ActivityResponsePartner, PartnerTask
em:AffectedQualifierCodeSimpleType | xs:token | simple_value | 0 | A data type code to classify the various causes for a dwelling being assessed as affected | -
em:AffectedQualifierCodeType | em:AffectedQualifierCodeSimpleType | complex_value | 0 | A data type code to classify the various causes for a dwelling being assessed as affected | -
em:AfterActionReviewReportType | nc:ReportType | object | 3 | A data type for a report related to an after action review. | AfterActionReviewReportAugmentationPoint, PlanProblemAnalysisText, PlanSuccessAnalysisText
em:AfterActionReviewType | nc:ActivityType | object | 3 | A data type for a review activity after an action occurs. | AfterActionReviewAugmentationPoint, AfterActionReviewReport, ImprovementPlan
em:AlarmAudibleDescriptionCodeSimpleType | xs:token | simple_value | 0 | A data type code indicating whether the alarm is audible or silent | -
em:AlarmAudibleDescriptionCodeType | em:AlarmAudibleDescriptionCodeSimpleType | complex_value | 0 | A data type code indicating whether the alarm is audible or silent | -
em:AlarmConfirmationType | - | object | 5 | A data type for the container for information related to the confirmation of an alarm | AlarmConfirmationAugmentationPoint, AlarmConfirmationCallPrivacyBypassPasscodeText, AlarmConfirmationCallToPremisesIndicator, AlarmConfirmationCallToPremisesResultsDescriptionText, AlarmConfirmationMethodDescriptionText
em:AlarmEventType | nc:ActivityType | object | 12 | A data type for an alarm event | AlarmAudibleIndicator, AlarmEventAugmentationPoint, AlarmEventCallBackTelephoneNumber, AlarmEventCallPrivacyBypassCodeText, AlarmEventCallToPremisesIndicator, AlarmEventCategoryAbstract, AlarmEventDetailsText, AlarmEventDispatchAgency
em:AlarmNotificationType | - | object | 15 | A data type for an alarm | AlarmAudibleDescriptionCode, AlarmAudibleIndicator, AlarmCallBackTelephoneNumber, AlarmCategoryAbstract, AlarmConfirmation, AlarmDetailsText, AlarmDispatchActivity, AlarmDispatchAgencyAbstract
em:AlarmPermitType | - | object | 3 | A data type for a permit for the alarm event site | AlarmPermitAugmentationPoint, PermitCategoryText, PermitIdentification
em:AlertAffectedLocationType | nc:LocationType | object | 3 | A data type for a location affected by an alert | AlertAffectedLocationAugmentationPoint, Ceiling, PolygonNodeLocation
em:AlertCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a code set denoting the type of alert message | -
em:AlertCategoryCodeType | em:AlertCategoryCodeSimpleType | complex_value | 0 | A data type for a code set denoting the type of alert message | -
em:AlertEventDetailsCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for the category code designated to an alert event | -
em:AlertEventDetailsCategoryCodeType | em:AlertEventDetailsCategoryCodeSimpleType | complex_value | 0 | A data type for the category code designated to an alert event | -
em:AlertEventDetailsCertaintyCodeSimpleType | xs:token | simple_value | 0 | A data type for the certainty code designated to an alert event | -
em:AlertEventDetailsCertaintyCodeType | em:AlertEventDetailsCertaintyCodeSimpleType | complex_value | 0 | A data type for the certainty code designated to an alert event | -
em:AlertEventDetailsResponseRecommendationCodeSimpleType | xs:token | simple_value | 0 | A data type for the response recommendation code designated to an alert event | -
em:AlertEventDetailsResponseRecommendationCodeType | em:AlertEventDetailsResponseRecommendationCodeSimpleType | complex_value | 0 | A data type for the response recommendation code designated to an alert event | -
